USER           UID   PID  PPID NAME                       
root             0     1     0 init
root             0     4     1 init
root             0     6     1 ueventd
logd          1036    34     1 logd
lmkd          1069    35     1 lmkd
system        1000    36     1 servicemanager
system        1000    37     1 hwservicemanager
system        1000    42     1 vndservicemanager
system        1000    43     1 qseecomd
root             0    44     1 cellsservice
system        1000    45     1 logcat
root             0    46     1 vold
keystore      1017    59     1 keystore2
system        1000    60     1 android.hardware.gatekeeper@1.0-service-qti
root             0    72     1 sh
system        1000    73     1 tombstoned
root             0    77     1 mmc_use_info_record
root             0    89     1 DevOperatorServer
root             0    90     1 vendor.ts.someip@1.0-service
radio         1001    93     1 ipacm
statsd        1066   120     1 statsd
root             0   124     1 netd
root             0   125     1 zygote64
root             0   126     1 zygote
system        1000   129     1 autoservice
system        1000   171     1 ssgtzd
audioserver   1041   189     1 android.hardware.audio.service
system        1000   224     1 android.hidl.allocator@1.0-service
system        1000   261     1 vendor.byd.ipel@1.0-service
system        1000   262     1 qccsyshal@1.2-service
bluetooth     1002   263     1 android.hardware.bluetooth@1.0-service-qti
cameraserver  1047   265     1 android.hardware.camera.provider@2.4-service_64
media         1013   268     1 android.hardware.drm@1.3-service.clearkey
gps           1021   269     1 android.hardware.gnss@2.1-service-qti
mediacodec    1046   272     1 android.hardware.media.c2@1.0-service-dolby
system        1000   273     1 android.hardware.memtrack@1.0-service
wifi          1010   280     1 android.hardware.wifi@1.0-service
media         1013   299     1 qconfigservice
system        1000   300     1 qesdk-manager
system        1000   301     1 vendor.hardware.rtkethernet@1.0-service
nfc           1027   304     1 vendor.nxp.hardware.nfc@2.0-service
system        1000   305     1 vendor.qti.hardware.display.composer-service
system        1000   308     1 dspservice
system        1000   309     1 vendor.qti.hardware.eid@1.0-service
root             0   311     1 vendor.qti.hardware.iop@2.0-service
root             0   313     1 vendor.qti.hardware.limits@1.0-service
root             0   317     1 vendor.qti.hardware.perf@2.2-service
system        1000   320     1 vendor.qti.hardware.secureprocessor@1.0
system        1000   321     1 vendor.qti.hardware.servicetracker@1.2-service
system        1000   335     1 vendor.qti.hardware.soter@1.0-service
system        1000   337     1 vendor.qti.hardware.vibrator.service
mediacodec    1046   338     1 media.hwcodec
system        1000   339     1 vendor.qti.qspmhal@1.0-service
media         1013   340     1 vppservice
system        1000   341     1 tecControl
root             0   345     1 stateservice
system        1000   356     1 lowirpcd
system        1000   361     1 pd-mapper
system        1000   374     1 accanimation
audioserver   1041   375     1 audioserver
credstore     1076   378     1 credstore
system        1000   379     1 surfaceflinger
system        1000   393     1 spdaemon
vendor_rfs    2903   395     1 tftp_server
system        1000   396     1 mcu_log_collection
system        1000   446     1 qwesd
system        1000   451     1 crashlogd
system        1000   474     1 dpmQmiMgr
shell         2000   476     1 cnss_diag
drm           1019   478     1 drmserver
nobody        9999   482     1 traced_probes
nobody        9999   485     1 traced
system        1000   499     1 NetMonitorServer
system        1000   500     1 vendor.ts.uds@1.0-service.default
root             0   501     1 dpmd
system        1000   504     1 feature_enabler_client
system        1000   506   501 dpmd
radio         1001   583     1 qmipriod
root             0   588     1 gbacqservice
root             0   589     1 vhds
root             0   590     1 gbdataservice
root             0   591     1 deservice
root             0   592     1 mqttserv
root             0   593     1 cloudctrlserv
root             0   598     1 strategyservice
root             0   599     1 safekeyservice
root             0   602     1 diagnosticsrv
root             0   603     1 acquisitionsrv
root             0   604     1 crossservice
root             0   605     1 smb
root             0   609     1 carpadinfosrv
system        1000   611     1 time_daemon
system        1000   615     1 byd_updated
cameraserver  1047   619     1 cameraserver
root             0   621     1 graphmonitorservice
incidentd     1067   625     1 incidentd
root             0   626     1 installd
mediaex       1040   627     1 media.extractor
media         1013   628     1 media.metrics
media         1013   629     1 mediaserver
root             0   695     1 diagmgrsrv
root             0   696     1 storaged
wifi          1010   701     1 wificond
system        1000   703     1 perfservice
system        1000   712     1 wfdhdcphalservice
mediacodec    1046   713     1 media.codec
system        1000   716     1 cnd
system        1000   718     1 wifidisplayhalservice
radio         1001   722     1 imsdaemon
radio         1001   725     1 ipacm-diag
radio         1001   743     1 netmgrd
radio         1001   749     1 port-bridge
root             0   752     1 poweropt-service
system        1000   754     1 adsprpcd
media         1013   755     1 audioadsprpcd
system        1000   756     1 cdsprpcd
system        1000   757     1 wfdvndservice
mediacodec    1046   783     1 media.swcodec
system        1000   788     1 cnss-daemon
radio         1001   791     1 ssgqmigd
gps           1021   794     1 mlid
gps           1021   795     1 loc_launcher
